AOA	Std Dev	Variance	Mean	Median
-4.05	0.0005455274698768569	2.97600220390245e-07	0.0034455502460302664	0.0032952024096025
-2.0	0.0002984779497638826	8.908908649525084e-08	0.0023202478959494835	0.0022893242848815
0.05	0.00011483065719594369	1.3186079832052333e-08	0.00200986381938105	0.0019850036690375
1.98	0.00034889551312164397	1.2172807907641525e-07	0.002412780298185683	0.002357685998404
4.18	0.00073206573073459	5.359202341159692e-07	0.0037314263901885836	0.003667915016245
6.2	0.001127818306212857	1.2719741318288378e-06	0.0059948063214113004	0.005737514226036
8.22	0.0016926820959701017	2.8651726780177363e-06	0.009406585599053318	0.0092402517896575
10.18	0.0021051765659705272	4.431768373911462e-06	0.01500764931381207	0.014971776435865
11.08	0.003031983478161329	9.192923811843271e-06	0.01848031724276067	0.01788047920219
12.25	0.0029810453756240643	8.886631531529619e-06	0.023115528542727668	0.023317378704235
13.1	0.003950078424190429	1.5603119557254745e-05	0.0278878878732025	0.027643926208215
14.28	0.00583332735957293	3.402770808394209e-05	0.03337938887030383	0.03249726094666
15.2	0.0056467539681916415	3.188583037728805e-05	0.0410599826807605	0.040909677567305
16.18	0.00569660075167934	3.245126012403362e-05	0.05041231453118016	0.050473945142544996
16.9	0.007429547206618682	5.519817169537546e-05	0.05510077583884917	0.05493162340576
17.35	0.007082431285781051	5.016083291781023e-05	0.05848994817954834	0.057684556659015
17.65	0.007104930408756504	5.0480036113272865e-05	0.061434542672825	0.060467505886645
18.65	0.008063212902629832	6.50154023131362e-05	0.0727940518015555	0.07150568320751
