AOA -4.05: {'p_hat': 2.05560590487649, 'GCI': 0.007653580896069901, 'CD_65': 0.01403214212587, 'CD_129': 0.003426365918254, 'CD_257': 0.0008751722862307}
AOA -2.0: {'p_hat': 2.1399455238819627, 'GCI': 0.0052737326995464, 'CD_65': 0.01002815693647, 'CD_129': 0.002280245447686, 'CD_257': 0.0005223345478372}
AOA 0.05: {'p_hat': 2.1793250557588366, 'GCI': 0.0045582990612099, 'CD_65': 0.008814105636309, 'CD_129': 0.001931961367936, 'CD_257': 0.0004125283475327}
AOA 1.98: {'p_hat': 2.143998076919854, 'GCI': 0.005252418202311, 'CD_65': 0.01000816124537, 'CD_129': 0.002269857463202, 'CD_257': 0.000519051395765}
AOA 4.18: {'p_hat': 2.0434115383291442, 'GCI': 0.0078982278791415, 'CD_65': 0.0143930986043, 'CD_129': 0.003540429251122, 'CD_257': 0.0009076866247415}
AOA 6.2: {'p_hat': 1.9564692621485738, 'GCI': 0.012485274464679001, 'CD_65': 0.02189718838938, 'CD_129': 0.005744947879843, 'CD_257': 0.00158318972495}
AOA 8.22: {'p_hat': 1.862558669130772, 'GCI': 0.02000445653187, 'CD_65': 0.03359070216744, 'CD_129': 0.009341830750504, 'CD_257': 0.002673678573214}
AOA 10.18: {'p_hat': 1.7659191908950693, 'GCI': 0.03102222629478, 'CD_65': 0.04978057495575, 'CD_129': 0.01461268164802, 'CD_257': 0.00427193954976}
AOA 11.08: {'p_hat': 1.7165977979554363, 'GCI': 0.03760703663103901, 'CD_65': 0.0589665250007, 'CD_129': 0.01776670808841, 'CD_257': 0.005231029211397}
AOA 12.25: {'p_hat': 1.6504292156700113, 'GCI': 0.04784552799141599, 'CD_65': 0.0727490773316, 'CD_129': 0.02268239700413, 'CD_257': 0.006733887673658}
AOA 13.1: {'p_hat': 1.5988358298356662, 'GCI': 0.056602679635677, 'CD_65': 0.08404863805796, 'CD_129': 0.0268990268941, 'CD_257': 0.008031467015541}
AOA 14.28: {'p_hat': 1.5217418136533696, 'GCI': 0.07076540057877001, 'CD_65': 0.1014865104161, 'CD_129': 0.03375517377578, 'CD_257': 0.01016670691619}
AOA 15.2: {'p_hat': 1.4572812954929546, 'GCI': 0.08351751108389999, 'CD_65': 0.1164198778331, 'CD_129': 0.03997618288927, 'CD_257': 0.01213701252797}
AOA 16.18: {'p_hat': 1.3834880800545555, 'GCI': 0.09880168906164, 'CD_65': 0.1334182156564, 'CD_129': 0.04749420799872, 'CD_257': 0.01456031164484}
AOA 16.9: {'p_hat': 1.3275416752244853, 'GCI': 0.11101291164468, 'CD_65': 0.1464842427, 'CD_129': 0.05361281894811, 'CD_257': 0.01660851506655}
AOA 17.35: {'p_hat': 1.2913774842849761, 'GCI': 0.11908274114727, 'CD_65': 0.154846031723, 'CD_129': 0.05768974076172, 'CD_257': 0.01799549371263}
AOA 17.65: {'p_hat': 1.2672830901335637, 'GCI': 0.12461672787210001, 'CD_65': 0.1604992987383, 'CD_129': 0.06051189032864, 'CD_257': 0.01897298103794}
AOA 18.65: {'p_hat': 1.1821120843265382, 'GCI': 0.14414788438761, 'CD_65': 0.1796237101454, 'CD_129': 0.07059566792694, 'CD_257': 0.02254637313107}
