AOA -4.05: {'p_hat': 1.0467698206755491, 'GCI': 0.005120401445624992, 'CL_65': -0.4818901707343, 'CL_129': -0.4903527570833, 'CL_257': -0.4944490782398}
AOA -2.0: {'p_hat': 0.5806802689296763, 'GCI': 0.011197411672520027, 'CL_65': -0.2398130792984, 'CL_129': -0.2425793189179, 'CL_257': -0.2444289606622}
AOA 0.05: {'p_hat': 1.0734994463004917, 'GCI': 1.825843317999963e-05, 'CL_65': 0.006092979594279, 'CL_129': 0.006123719959794, 'CL_257': 0.006138326706338}
AOA 1.98: {'p_hat': 0.9762195298094805, 'GCI': 0.001835537618375023, 'CL_65': 0.2375158857487, 'CL_129': 0.2404047333884, 'CL_257': 0.2418731634831}
AOA 4.18: {'p_hat': 0.9241078000477253, 'GCI': 0.0056439923399999314, 'CL_65': 0.4971378677958, 'CL_129': 0.5057054951685, 'CL_257': 0.5102206890405}
AOA 6.2: {'p_hat': 1.0858643305812843, 'GCI': 0.011164642348375081, 'CL_65': 0.7271312527609, 'CL_129': 0.746090126619, 'CL_257': 0.7550218404977}
AOA 8.22: {'p_hat': 1.0976800995553275, 'GCI': 0.021317109047249982, 'CL_65': 0.9436500984277, 'CL_129': 0.9801467422685, 'CL_257': 0.9972004295063}
AOA 10.18: {'p_hat': 1.068889782808061, 'GCI': 0.038132780927500054, 'CL_65': 1.133819571044, 'CL_129': 1.19781609009, 'CL_257': 1.228322314832}
AOA 11.08: {'p_hat': 1.0376284824168012, 'GCI': 0.049235733984999974, 'CL_65': 1.212445384962, 'CL_129': 1.29330426117, 'CL_257': 1.332692848358}
AOA 12.25: {'p_hat': 0.9998426184169431, 'GCI': 0, 'CL_65': 1.303045124477, 'CL_129': 1.411819081535, 'CL_257': 1.466211993387}
AOA 13.1: {'p_hat': 0.9646331772675374, 'GCI': 0.08546447689000009, 'CL_65': 1.359553140951, 'CL_129': 1.492984880178, 'CL_257': 1.56135646169}
AOA 14.28: {'p_hat': 0.9017993747039339, 'GCI': 0.11662375583250006, 'CL_65': 1.422586816072, 'CL_129': 1.596906196028, 'CL_257': 1.690205200694}
AOA 15.2: {'p_hat': 0.8409095694507276, 'GCI': 0.4486265404094464, 'CL_65': 1.457225250991, 'CL_129': 1.669147960341, 'CL_257': 1.787462602233}
AOA 16.18: {'p_hat': 0.7569460848296556, 'GCI': 0.6602159026121921, 'CL_65': 1.478830748048, 'CL_129': 1.735409329486, 'CL_257': 1.887239095614}
AOA 16.9: {'p_hat': 0.682176458194247, 'GCI': 0.901634430823929, 'CL_65': 1.484180798121, 'CL_129': 1.775724185925, 'CL_257': 1.95742112865}
AOA 17.35: {'p_hat': 0.6304425490476431, 'GCI': 1.1114167503418155, 'CL_65': 1.482416859925, 'CL_129': 1.796720845178, 'CL_257': 1.99975437727}
AOA 17.65: {'p_hat': 0.5922389261335166, 'GCI': 1.2914242926854056, 'CL_65': 1.479323942058, 'CL_129': 1.808734703128, 'CL_257': 2.027237047538}
AOA 18.65: {'p_hat': 0.44335892137711497, 'GCI': 2.0135475448936515, 'CL_65': 1.457869514322, 'CL_129': 1.835902140189, 'CL_257': 2.113915040715}
