AOA	Std Dev	Variance	Mean	Median
-4.05	0.0006299346312481359	3.9681763964572486e-07	0.0036189928119590166	0.003564774738838
-2.0	0.0003293583114849306	1.0847689734420458e-07	0.0023401082191098497	0.002266101335953
0.05	0.00012127943677584724	1.4708701784666727e-08	0.002014248744090583	0.002015174317743
1.98	0.00029636620245607784	8.783292595823691e-08	0.0023942014047612834	0.002360559890589
4.18	0.0005587625390527847	3.1221557504871473e-07	0.0035927955953246	0.0035792885603585
6.2	0.0009622355878251206	9.258973264771553e-07	0.006207122779905117	0.0060689796001304995
8.22	0.0015445116509948766	2.3855162400589195e-06	0.009842219013494049	0.009758225713391
10.18	0.0023998870222587537	5.759457719605987e-06	0.015360676925311501	0.015568319718520001
11.08	0.0028561696690416554	8.157705178353519e-06	0.018208830063233667	0.017911809216685
12.25	0.0034406614269914017	1.183815105518651e-05	0.02283019133673717	0.02234672238652
13.1	0.0038663384479293164	1.4948572993936476e-05	0.026522917912122503	0.026770725494385
14.28	0.004826662498541402	2.329667087482593e-05	0.03432486678805316	0.034806261738275
15.2	0.004595444393578949	2.111810917447619e-05	0.04094739429474233	0.04119839870255
16.18	0.006166805494894386	3.802949001185959e-05	0.0489995873324975	0.048520308446419996
16.9	0.006082401582983056	3.6995609016674785e-05	0.054242062577279336	0.055037719565285
17.35	0.006511379366190103	4.2398061250446226e-05	0.05950762066389267	0.05926142474809
17.65	0.0074731554298389	5.5848052078530634e-05	0.06054835663704967	0.05947689198985
18.65	0.008363508000342185	6.994826607178775e-05	0.07154393248643301	0.07002371833478
